x,phi,phisd,J,Jsd
0,0.27942083,0.27942083,-0.098154213,0.098154213
0.1,0.321174554,0.321174554,-0.078294172,0.078294172
0.2,0.34814359,0.34814359,-0.066751958,0.066751958
0.3,0.373397583,0.373397583,-0.055608223,0.055608223
0.4,0.374911705,0.374911705,-0.047872091,0.047872091
0.5,0.415794354,0.415794354,-0.037810538,0.037810538
0.6,0.417195431,0.417195431,-0.027956844,0.027956844
0.7,0.412088291,0.412088291,-0.017740003,0.017740003
0.8,0.413464064,0.413464064,-0.007150964,0.007150964
0.9,0.421026906,0.421026906,0.003040542,0.003040542
1,0.419583565,0.419583565,0.010478997,0.010478997
1.1,0.422109609,0.422109609,0.018466946,0.018466946
1.2,0.421011649,0.421011649,0.027542611,0.027542611
1.3,0.408557201,0.408557201,0.03726137,0.03726137
1.4,0.403597254,0.403597254,0.046950071,0.046950071
1.5,0.393395981,0.393395981,0.057127956,0.057127956
1.6,0.377082265,0.377082265,0.065158451,0.065158451
1.7,0.372708264,0.372708264,0.073720811,0.073720811
1.8,0.34108522,0.34108522,0.088273657,0.088273657
1.9,0.280338728,0.280338728,0.110174135,0.110174135
2,0.238108927,0.238108927,0.1202,0.1202
2.1,0.238108927,0.238108927,0.1202,0.1202
2.2,0.238108927,0.238108927,0.1202,0.1202
2.3,0.238108927,0.238108927,0.1202,0.1202
2.4,0.238108927,0.238108927,0.1202,0.1202
2.5,0.238108927,0.238108927,0.1202,0.1202
2.6,0.238108927,0.238108927,0.1202,0.1202
2.7,0.238108927,0.238108927,0.1202,0.1202
2.8,0.238108927,0.238108927,0.1202,0.1202
2.9,0.238108927,0.238108927,0.1202,0.1202
3,0.238108927,0.238108927,0.1202,0.1202
3.1,0.238108927,0.238108927,0.1202,0.1202
3.2,0.238108927,0.238108927,0.1202,0.1202
3.3,0.238108927,0.238108927,0.1202,0.1202
3.4,0.238108927,0.238108927,0.1202,0.1202
3.5,0.238108927,0.238108927,0.1202,0.1202
3.6,0.238108927,0.238108927,0.1202,0.1202
3.7,0.238108927,0.238108927,0.1202,0.1202
3.8,0.238108927,0.238108927,0.1202,0.1202
3.9,0.238108927,0.238108927,0.1202,0.1202
4,0.208972943,0.208972943,0.11040129,0.11040129
4.1,0.163647621,0.163647621,0.092898577,0.092898577
4.2,0.130148771,0.130148771,0.07884679,0.07884679
4.3,0.106107846,0.106107846,0.066870627,0.066870627
4.4,0.087159232,0.087159232,0.057444211,0.057444211
4.5,0.072721373,0.072721373,0.049599234,0.049599234
4.6,0.061926763,0.061926763,0.043364086,0.043364086
4.7,0.055241546,0.055241546,0.038910525,0.038910525
4.8,0.047152058,0.047152058,0.033997054,0.033997054
4.9,0.040042189,0.040042189,0.029299345,0.029299345
5,0.034121167,0.034121167,0.025325353,0.025325353
5.1,0.029779236,0.029779236,0.022272042,0.022272042
5.2,0.026548179,0.026548179,0.019989196,0.019989196
5.3,0.023341236,0.023341236,0.017659637,0.017659637
5.4,0.021120065,0.021120065,0.016120839,0.016120839
5.5,0.019212181,0.019212181,0.014672434,0.014672434
5.6,0.0168307,0.0168307,0.012894913,0.012894913
5.7,0.013921516,0.013921516,0.010740411,0.010740411
5.8,0.012071406,0.012071406,0.009383184,0.009383184
5.9,0.011069149,0.011069149,0.008561229,0.008561229